"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v1","001-baseline","1","http://127.0.1.1:8080/cells/0","1780862376160",,"2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","2","http://127.0.1.1:8080/cells/0/2","1780862380237","4077","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","3","http://127.0.1.1:8080/cells/1/2","1780862384435","4198","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","4","http://127.0.1.1:8080/cells/2/2","1780862388738","4303","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","5","http://127.0.1.1:8080/cells/2/3","1780862392748","4010","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","6","http://127.0.1.1:8080/cells/2/4","1780862396855","4107","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","7","http://127.0.1.1:8080/cells/1/4","1780862401022","4167","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","8","http://127.0.1.1:8080/cells/1/5","1780862404967","3945","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","9","http://127.0.1.1:8080/cells/1/6","1780862409213","4246","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","10","http://127.0.1.1:8080/cells/2/6","1780862413963","4750","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","11","http://127.0.1.1:8080/cells/3/6","1780862418116","4153","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","12","http://127.0.1.1:8080/cells/3/7","1780862422126","4010","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","13","http://127.0.1.1:8080/cells/3/8","1780862427712","5586","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","14","http://127.0.1.1:8080/cells/3/9","1780862432155","4443","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","15","http://127.0.1.1:8080/cells/4/9","1780862441145","8990","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","16","http://127.0.1.1:8080/cells/5/9","1780862445222","4077","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","17","http://127.0.1.1:8080/cells/6/9","1780862449949","4727","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","18","http://127.0.1.1:8080/cells/7/9","1780862454593","4644","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","19","http://127.0.1.1:8080/cells/7/10","1780862459627","5034","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","20","http://127.0.1.1:8080/cells/8/10","1780862463763","4136","30","26","4","28","2","201;200;409;403;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;403;200"
"react-baseline-vs-ccrs-v1","001-baseline","21","http://127.0.1.1:8080/cells/7/10","1780862529649","65886","4","3","1","3","1","201;200;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","22","http://127.0.1.1:8080/cells/7/9","1780862537999","8350","12","5","7","11","1","201;200;200;403;403;403;403;200;403;403;403;200"
"react-baseline-vs-ccrs-v1","001-baseline","23","http://127.0.1.1:8080/cells/6/9","1780862567394","29395","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","24","http://127.0.1.1:8080/cells/5/9","1780862573542","6148","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","25","http://127.0.1.1:8080/cells/4/9","1780862579704","6162","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","26","http://127.0.1.1:8080/cells/3/9","1780862587320","7616","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","27","http://127.0.1.1:8080/cells/3/8","1780862593598","6278","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","28","http://127.0.1.1:8080/cells/3/7","1780862599817","6219","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","29","http://127.0.1.1:8080/cells/3/6","1780862605819","6002","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","30","http://127.0.1.1:8080/cells/2/6","1780862613346","7527","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","31","http://127.0.1.1:8080/cells/1/6","1780862620192","6846","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","32","http://127.0.1.1:8080/cells/1/7","1780862626765","6573","7","3","4","5","2","201;200;403;404;200;403;403"
"react-baseline-vs-ccrs-v1","001-baseline","33","http://127.0.1.1:8080/cells/1/6","1780862641646","14881","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","34","http://127.0.1.1:8080/cells/1/5","1780862648734","7088","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","35","http://127.0.1.1:8080/cells/1/4","1780862655595","6861","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","36","http://127.0.1.1:8080/cells/2/4","1780862661903","6308","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","37","http://127.0.1.1:8080/cells/2/3","1780862668451","6548","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","38","http://127.0.1.1:8080/cells/2/2","1780862674608","6157","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","39","http://127.0.1.1:8080/cells/3/2","1780862679611","5003","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","40","http://127.0.1.1:8080/cells/4/2","1780862686199","6588","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","41","http://127.0.1.1:8080/cells/5/2","1780862691388","5189","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","42","http://127.0.1.1:8080/cells/6/2","1780862696319","4931","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","43","http://127.0.1.1:8080/cells/7/2","1780862701195","4876","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","44","http://127.0.1.1:8080/cells/7/3","1780862706026","4831","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","45","http://127.0.1.1:8080/cells/7/4","1780862710792","4766","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","46","http://127.0.1.1:8080/cells/8/4","1780862718488","7696","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","47","http://127.0.1.1:8080/cells/8/5","1780862723933","5445","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","48","http://127.0.1.1:8080/cells/8/6","1780862728635","4702","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","49","http://127.0.1.1:8080/cells/9/6","1780862733488","4853","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","50","http://127.0.1.1:8080/cells/10/6","1780862738622","5134","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","51","http://127.0.1.1:8080/cells/11/6","1780862743907","5285","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","52","http://127.0.1.1:8080/cells/11/7","1780862749152","5245","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","53","http://127.0.1.1:8080/cells/11/8","1780862754879","5727","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","54","http://127.0.1.1:8080/cells/11/9","1780862759574","4695","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","55","http://127.0.1.1:8080/cells/12/9","1780862764510","4936","30","27","3","29","1","201;200;200;200;403;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","56","http://127.0.1.1:8080/cells/11/9","1780862829860","65350","6","6","0","5","1","201;200;200;200;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","57","http://127.0.1.1:8080/cells/11/10","1780862842660","12800","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","58","http://127.0.1.1:8080/cells/11/11","1780862847594","4934","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","59","http://127.0.1.1:8080/cells/10/11","1780862853698","6104","9","7","2","7","2","201;200;200;200;403;403;200;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","60","http://127.0.1.1:8080/cells/11/11","1780862878075","24377","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","001-baseline","61","http://127.0.1.1:8080/cells/12/11","1780862883296","5221","31","29","2","30","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;403;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","62","http://127.0.1.1:8080/cells/11/11","1780862949482","66186","4","3","1","3","1","201;200;200;403"
"react-baseline-vs-ccrs-v1","001-baseline","63","http://127.0.1.1:8080/cells/10/11","1780862957724","8242","31","26","5","27","4","201;200;200;200;200;200;200;200;200;200;200;200;200;200;409;200;409;200;200;200;200;200;403;200;403;200;200;403;200;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","64","http://127.0.1.1:8080/cells/11/11","1780863031380","73656","4","4","0","3","1","201;200;200;200"
"react-baseline-vs-ccrs-v1","001-baseline","65","http://127.0.1.1:8080/cells/12/11","1780863039688","8308","22","22","0","21","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1","002-ccrs","1","http://127.0.1.1:8080/cells/0","1780859728006",,"2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","2","http://127.0.1.1:8080/cells/0/2","1780859732086","4080","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","3","http://127.0.1.1:8080/cells/1/2","1780859736003","3917","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","4","http://127.0.1.1:8080/cells/2/2","1780859740819","4816","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","5","http://127.0.1.1:8080/cells/3/2","1780859749011","8192","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","6","http://127.0.1.1:8080/cells/4/2","1780859753182","4171","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","7","http://127.0.1.1:8080/cells/5/2","1780859758370","5188","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","8","http://127.0.1.1:8080/cells/6/2","1780859762818","4448","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","9","http://127.0.1.1:8080/cells/7/2","1780859773180","10362","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","10","http://127.0.1.1:8080/cells/7/3","1780859777448","4268","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","11","http://127.0.1.1:8080/cells/7/4","1780859782647","5199","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","12","http://127.0.1.1:8080/cells/8/4","1780859786909","4262","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","13","http://127.0.1.1:8080/cells/8/5","1780859791306","4397","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","14","http://127.0.1.1:8080/cells/8/6","1780859795835","4529","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","15","http://127.0.1.1:8080/cells/9/6","1780859800140","4305","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","16","http://127.0.1.1:8080/cells/10/6","1780859805271","5131","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","17","http://127.0.1.1:8080/cells/11/6","1780859812533","7262","5","4","1","4","1","201;200;403;200;200"
"react-baseline-vs-ccrs-v1","002-ccrs","18","http://127.0.1.1:8080/cells/11/7","1780859825677","13144","22","16","6","21","1","201;200;403;200;200;200;403;200;200;200;200;403;200;403;200;200;200;200;403;200;403;200"
"react-baseline-vs-ccrs-v1","002-ccrs","19","http://127.0.1.1:8080/cells/11/8","1780859894625","68948","12","6","6","11","1","201;200;200;403;403;200;200;403;200;403;403;403"
"react-baseline-vs-ccrs-v1","002-ccrs","20","http://127.0.1.1:8080/cells/11/9","1780859950218","55593","20","19","1","19","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1","002-ccrs","21","http://127.0.1.1:8080/cells/11/10","1780859995380","45162","5","4","1","4","1","201;200;200;200;403"
"react-baseline-vs-ccrs-v1","002-ccrs","22","http://127.0.1.1:8080/cells/11/11","1780860008821","13441","8","7","1","7","1","201;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1","002-ccrs","23","http://127.0.1.1:8080/cells/10/11","1780860027191","18370","5","4","1","4","1","201;200;200;200;403"
"react-baseline-vs-ccrs-v1","002-ccrs","24","http://127.0.1.1:8080/cells/11/11","1780860073456","46265","3","0","3","2","1","409;403;403"
"react-baseline-vs-ccrs-v1","002-ccrs","25","http://127.0.1.1:8080/cells/12/11","1780860095097","21641","3","1","2","2","1","403;200;403"
"react-baseline-vs-ccrs-v1","002-ccrs","26","http://127.0.1.1:8080/cells/11/11","1780860165935","70838","35","33","2","32","3","201;200;403;201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;201;200;200"
"react-baseline-vs-ccrs-v1","002-ccrs","27","http://127.0.1.1:8080/cells/10/11","1780860176635","10700","7","4","3","4","3","201;200;403;200;409;403;200"
"react-baseline-vs-ccrs-v1","002-ccrs","28","http://127.0.1.1:8080/cells/11/11","1780860193844","17209","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","29","http://127.0.1.1:8080/cells/11/10","1780860198823","4979","4","3","1","3","1","201;200;200;403"
"react-baseline-vs-ccrs-v1","002-ccrs","30","http://127.0.1.1:8080/cells/11/9","1780860208287","9464","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","31","http://127.0.1.1:8080/cells/10/9","1780860213199","4912","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","32","http://127.0.1.1:8080/cells/11/9","1780860217915","4716","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","33","http://127.0.1.1:8080/cells/11/8","1780860223073","5158","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","34","http://127.0.1.1:8080/cells/11/7","1780860227757","4684","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","35","http://127.0.1.1:8080/cells/11/6","1780860232553","4796","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","36","http://127.0.1.1:8080/cells/11/5","1780860237613","5060","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1","002-ccrs","37","http://127.0.1.1:8080/cells/12/5","1780860243886","6273","3","2","1","1","2","201;200;409"
