ï»¿"batch_id","run_id","agent_name","graph_name","file","line","timestamp","tool_call_id","action_type","target","outcome","http_status","http_ok","response_length","content_type","error","error_type","result_line","result_timestamp"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","9","2026-06-07 21:15:24,623","call_0999QMmKlfrGZJhnlUG7VaqQ","http_get","http://127.0.1.1:8080/maze","success","200","True","1014","text/turtle",,,"10","2026-06-07 21:15:24,648"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","28","2026-06-07 21:15:27,918","call_cx25dhgDoNrb8xSrg5RVI927","http_post","http://127.0.1.1:8080/cells/0","success","201","True","44","text/plain;charset=iso-8859-1",,,"29","2026-06-07 21:15:28,005"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","38","2026-06-07 21:15:29,438","call_26VMlxntv7Zy1dBA5AFloqb9","http_get","http://127.0.1.1:8080/cells/0","success","200","True","1409","text/turtle",,,"39","2026-06-07 21:15:29,457"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","103","2026-06-07 21:15:32,004","call_y2xZ0F9wuxWtn2UxFFasWPla","http_post","http://127.0.1.1:8080/cells/0/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"104","2026-06-07 21:15:32,086"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","113","2026-06-07 21:15:33,619","call_LCySH8SF3Uz0jjhLZe22sZTT","http_get","http://127.0.1.1:8080/cells/0/2","success","200","True","1568","text/turtle",,,"114","2026-06-07 21:15:33,626"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","178","2026-06-07 21:15:35,926","call_D3UVPSIaGwWRwTseQM2xVMxz","http_post","http://127.0.1.1:8080/cells/1/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"179","2026-06-07 21:15:36,008"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","188","2026-06-07 21:15:37,578","call_lgayqEJt5hH3mFophqdPHfpO","http_get","http://127.0.1.1:8080/cells/1/2","success","200","True","1570","text/turtle",,,"189","2026-06-07 21:15:37,583"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","253","2026-06-07 21:15:40,714","call_nkWOkzY6TZeSMlEGnOGj6txp","http_post","http://127.0.1.1:8080/cells/2/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"254","2026-06-07 21:15:40,819"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","263","2026-06-07 21:15:42,270","call_phGMLWdbUxcXpmrKqA1ry95u","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1618","text/turtle",,,"264","2026-06-07 21:15:42,275"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","328","2026-06-07 21:15:48,923","call_zHqVuUCH5Rjh1WwVF5ikkegn","http_post","http://127.0.1.1:8080/cells/3/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"329","2026-06-07 21:15:49,013"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","338","2026-06-07 21:15:50,607","call_AybYzRFm9w4TcZKtceHdxGtN","http_get","http://127.0.1.1:8080/cells/3/2","success","200","True","1570","text/turtle",,,"339","2026-06-07 21:15:50,616"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","403","2026-06-07 21:15:53,093","call_1t4jpfvkJK55zWKNzIMji6Fi","http_post","http://127.0.1.1:8080/cells/4/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"404","2026-06-07 21:15:53,184"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","413","2026-06-07 21:15:54,611","call_TapcEYufiOI4MoL5J2RmopFh","http_get","http://127.0.1.1:8080/cells/4/2","success","200","True","1594","text/turtle",,,"414","2026-06-07 21:15:54,617"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","478","2026-06-07 21:15:58,277","call_3Hy3kjMtHiEM8lpDREqGJiEO","http_post","http://127.0.1.1:8080/cells/5/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"479","2026-06-07 21:15:58,373"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","488","2026-06-07 21:15:59,849","call_nlXXBjH8k1pNUq8yLLZcj6RR","http_get","http://127.0.1.1:8080/cells/5/2","success","200","True","1594","text/turtle",,,"489","2026-06-07 21:15:59,854"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","553","2026-06-07 21:16:02,740","call_pgC89wmnxmQ9PPzlozMyxpzb","http_post","http://127.0.1.1:8080/cells/6/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"554","2026-06-07 21:16:02,817"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","563","2026-06-07 21:16:05,225","call_4xsgyZTblFxyuHl2IOkdyCUS","http_get","http://127.0.1.1:8080/cells/6/2","success","200","True","1570","text/turtle",,,"564","2026-06-07 21:16:05,243"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","628","2026-06-07 21:16:13,100","call_z3aCueBwY9WKwf1Ol0ukGBOm","http_post","http://127.0.1.1:8080/cells/7/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"629","2026-06-07 21:16:13,178"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","638","2026-06-07 21:16:14,741","call_NAXNVkRU7zcdQxRn9eyWzyl2","http_get","http://127.0.1.1:8080/cells/7/2","success","200","True","1618","text/turtle",,,"639","2026-06-07 21:16:14,764"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","703","2026-06-07 21:16:17,364","call_TkhPkLkzGbUugHqmxc4fGQqt","http_post","http://127.0.1.1:8080/cells/7/3","success","201","True","46","text/plain;charset=iso-8859-1",,,"704","2026-06-07 21:16:17,449"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","713","2026-06-07 21:16:19,653","call_3QUioKl2Sg71NFCxzNyjudXc","http_get","http://127.0.1.1:8080/cells/7/3","success","200","True","1570","text/turtle",,,"714","2026-06-07 21:16:19,658"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","778","2026-06-07 21:16:22,560","call_GaujQJj56ju9YtBRkkFlJvZm","http_post","http://127.0.1.1:8080/cells/7/4","success","201","True","46","text/plain;charset=iso-8859-1",,,"779","2026-06-07 21:16:22,647"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","788","2026-06-07 21:16:24,172","call_nhJdeVIyDS21pmWvjZg7ffjO","http_get","http://127.0.1.1:8080/cells/7/4","success","200","True","1570","text/turtle",,,"789","2026-06-07 21:16:24,177"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","853","2026-06-07 21:16:26,790","call_n35Ql0iks2FJ6D9qxz1MIMcX","http_post","http://127.0.1.1:8080/cells/8/4","success","201","True","46","text/plain;charset=iso-8859-1",,,"854","2026-06-07 21:16:26,895"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","863","2026-06-07 21:16:28,437","call_Ewl64rmGQ5M3LjIIzhcQ2W44","http_get","http://127.0.1.1:8080/cells/8/4","success","200","True","1994","text/turtle",,,"864","2026-06-07 21:16:28,453"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","928","2026-06-07 21:16:31,189","call_7ZwlMPtdJaQyVZsE2Dwz9hqr","http_post","http://127.0.1.1:8080/cells/8/5","success","201","True","46","text/plain;charset=iso-8859-1",,,"929","2026-06-07 21:16:31,308"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","938","2026-06-07 21:16:32,934","call_q9IRc8M5S9hS858FghFWwESg","http_get","http://127.0.1.1:8080/cells/8/5","success","200","True","1570","text/turtle",,,"939","2026-06-07 21:16:32,938"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1003","2026-06-07 21:16:35,727","call_XJukR6C2Wj4FLzVUv00xsekV","http_post","http://127.0.1.1:8080/cells/8/6","success","201","True","46","text/plain;charset=iso-8859-1",,,"1004","2026-06-07 21:16:35,828"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1013","2026-06-07 21:16:37,422","call_YVwcSfX4GoVHXQIKH6s2dyMQ","http_get","http://127.0.1.1:8080/cells/8/6","success","200","True","1618","text/turtle",,,"1014","2026-06-07 21:16:37,447"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1078","2026-06-07 21:16:40,032","call_xwWeoUTZybLtXKuLoCGs7fAM","http_post","http://127.0.1.1:8080/cells/9/6","success","201","True","46","text/plain;charset=iso-8859-1",,,"1079","2026-06-07 21:16:40,140"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1088","2026-06-07 21:16:42,522","call_thA3CpcCE2yt1WiyqCDfyDCs","http_get","http://127.0.1.1:8080/cells/9/6","success","200","True","1572","text/turtle",,,"1089","2026-06-07 21:16:42,547"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1153","2026-06-07 21:16:45,182","call_8VrWIwehB3qg0ZJSwdJ6CnkV","http_post","http://127.0.1.1:8080/cells/10/6","success","201","True","47","text/plain;charset=iso-8859-1",,,"1154","2026-06-07 21:16:45,266"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1163","2026-06-07 21:16:46,896","call_hxNo3BKN3MZhv9Jd8HNowVwl","http_get","http://127.0.1.1:8080/cells/10/6","success","200","True","1577","text/turtle",,,"1164","2026-06-07 21:16:46,901"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1228","2026-06-07 21:16:52,425","call_3zNXSBke5en50ioOAs4koKVm","http_post","http://127.0.1.1:8080/cells/11/6","success","201","True","47","text/plain;charset=iso-8859-1",,,"1229","2026-06-07 21:16:52,531"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1238","2026-06-07 21:16:54,237","call_emroXvKwOcSRZJ7t8dlinwDn","http_get","http://127.0.1.1:8080/cells/11/6","success","200","True","1603","text/turtle",,,"1239","2026-06-07 21:16:54,264"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1303","2026-06-07 21:16:56,421","call_txVjJWHgYnER27AIV8rrDcxh","http_get","http://127.0.1.1:8080/cells/11/5","success","403","False","476","text/turtle",,,"1304","2026-06-07 21:16:56,439"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1319","2026-06-07 21:16:58,248","call_A1O2gXJYKCZ4ZTbo7iOdjCRR","http_get","http://127.0.1.1:8080/cells/11/6","success","200","True","1603","text/turtle",,,"1320","2026-06-07 21:16:58,267"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1384","2026-06-07 21:17:00,175","call_m6Uurl8GukZ2Gu9MWH2nAQOU","http_get","http://127.0.1.1:8080/cells/11/6","success","200","True","1603","text/turtle",,,"1385","2026-06-07 21:17:00,181"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1449","2026-06-07 21:17:05,564","call_hhQcArZma4XU991AOAmnfFrm","http_post","http://127.0.1.1:8080/cells/11/7","success","201","True","47","text/plain;charset=iso-8859-1",,,"1450","2026-06-07 21:17:05,673"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1459","2026-06-07 21:17:13,254","call_MUi7OVVYDtw9DJXkCTeCVpWT","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1460","2026-06-07 21:17:13,274"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1475","2026-06-07 21:17:15,194","call_1AvWkFZFgEVPAdqgqUY85RqX","http_get","http://127.0.1.1:8080/cells/11/8","success","403","False","476","text/turtle",,,"1476","2026-06-07 21:17:15,215"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1491","2026-06-07 21:17:17,299","call_fENGLk7eAiGcWcPjXz1naVe1","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1492","2026-06-07 21:17:17,304"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1507","2026-06-07 21:17:24,762","call_WW6dtd7Ea5aCS8uiOw9Qbg69","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1508","2026-06-07 21:17:24,774"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1523","2026-06-07 21:17:26,857","call_Ukovo795SN2aTzLqIW5IBwpA","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1524","2026-06-07 21:17:26,877"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1539","2026-06-07 21:17:29,007","call_2gPBK56zHuzPr6JYdbETuHZ4","http_get","http://127.0.1.1:8080/cells/11/8","success","403","False","476","text/turtle",,,"1540","2026-06-07 21:17:29,013"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1555","2026-06-07 21:17:31,201","call_f5WOXyVcgsO4QtokEX7JRMVN","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1556","2026-06-07 21:17:31,208"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1571","2026-06-07 21:17:33,288","call_t8diHWHxcsjyjxf6NBTqdqTZ","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1572","2026-06-07 21:17:33,294"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1587","2026-06-07 21:17:35,385","call_kMoaB3nFD7hn42WxPuE6FqNq","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1588","2026-06-07 21:17:35,392"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1603","2026-06-07 21:17:37,732","call_npCHz3dXs2x5oFX84LwJEZPI","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1604","2026-06-07 21:17:37,741"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1619","2026-06-07 21:17:43,774","call_Vz0lA0dZ3XwAUm6mPqKfDUHw","http_get","http://127.0.1.1:8080/cells/11/8","success","403","False","476","text/turtle",,,"1620","2026-06-07 21:17:43,782"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1635","2026-06-07 21:17:45,861","call_EEpJ2XbfwKiLwIZ2aSAxFNKj","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1636","2026-06-07 21:17:45,867"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1651","2026-06-07 21:17:48,215","call_pcDb5tepzIqSvtklvSNkgzmz","http_get","http://127.0.1.1:8080/cells/11/8","success","403","False","476","text/turtle",,,"1652","2026-06-07 21:17:48,222"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1667","2026-06-07 21:17:50,554","call_vjqivagxcamP35UZwUlUn614","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1668","2026-06-07 21:17:50,560"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1683","2026-06-07 21:17:53,500","call_vfLa47B8uKlV2BqJErTbvvVF","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1684","2026-06-07 21:17:53,506"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1699","2026-06-07 21:17:59,189","call_IkUYpP1bHRLuNjorpBBvbSQV","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1700","2026-06-07 21:17:59,195"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1715","2026-06-07 21:18:01,484","call_yr5NEU1WeJFuZyQhsBQC5hJL","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1716","2026-06-07 21:18:01,490"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1731","2026-06-07 21:18:03,710","call_g5OiMsHY16lUoFooyR305WCg","http_get","http://127.0.1.1:8080/cells/11/8","success","403","False","476","text/turtle",,,"1732","2026-06-07 21:18:03,716"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1747","2026-06-07 21:18:06,018","call_KsIRoFeqlXA6tLlmgLAEn7Va","http_get","http://127.0.1.1:8080/cells/11/7","success","200","True","1237","text/turtle",,,"1748","2026-06-07 21:18:06,024"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","1763","2026-06-07 21:18:08,502","call_qB6ZmbGezCBgfWNHNeHYEcjn","http_get","http://127.0.1.1:8080/cells/11/8","success","403","False","476","text/turtle",,,"1764","2026-06-07 21:18:08,509"
